Orders,Total Matches,Shares Sold,Dollars Traded,Time
200000,156892,195764846.224240,498846756,0.303221,

Price,Quantitiy Traded,BuyerID,SellerID
1.397438,504.605179,8372,8375
2.649043,1927.955622,8512,8510
2.025343,1947.355110,8659,8663
1.799620,89.554476,8776,8783
3.200201,3808.944528,8916,8913
2.340567,4277.953724,9036,9044
3.963319,433.636845,9181,8942
2.293930,3032.444580,9301,9307
2.316094,2836.572117,9440,9438
2.465911,2754.992386,9561,9554
3.688820,3146.395281,9670,9587
1.801644,489.549892,9791,9801
3.917037,1379.463630,9924,9460
1.617224,1968.315780,8105,10057
2.078478,3105.083825,10191,10189
3.370451,3202.161783,10321,10320
3.825310,638.005649,10441,10127
2.246524,257.931618,10451,10576
3.943876,104.064778,10689,9627
2.799823,716.749111,10832,10827
1.486226,1444.998924,10951,10955
2.749042,1066.591168,11098,11095
2.249629,259.145386,11192,11223
4.024481,178.715879,11344,11336
1.445999,2808.904067,11452,11497
3.991208,2691.505131,11614,11478
2.266295,458.230925,11727,11724
1.833466,2350.305432,11859,11868
3.638007,270.566937,11983,11949
2.115210,1088.775612,12073,12102
3.802551,183.349824,12227,12125
1.372055,1387.286765,12350,12353
3.940514,122.052881,12478,12361
1.304051,157.753165,12579,12584
3.243215,2136.429169,12728,12720
2.081851,83.229847,12875,12852
3.733057,2736.710781,12994,12804
2.999557,1168.461328,13113,13107
2.883555,1020.985758,13239,13244
1.668577,474.842729,13329,13388
1.753488,1281.735270,13500,13506
2.328464,411.666234,13627,13644
2.402284,3285.237857,13765,13764
2.348064,1335.664591,13787,13892
3.606758,1097.930828,14034,14019
3.111167,91.413546,14155,14157
3.777461,1501.835450,14291,14241
3.567142,1419.125435,14411,14389
1.366876,1727.646971,14573,14577
2.524838,3071.016127,14697,14700
3.424886,2489.194359,14823,14819
2.369411,451.411694,14951,14949
1.390891,2772.131271,15055,15063
2.824599,2735.419064,15193,15189
1.630849,269.141453,15313,15314
3.456618,1240.222025,15429,15438
1.265149,1539.850661,15538,15547
3.234265,504.077381,15685,15603
1.276709,351.058221,15810,15813
3.170668,109.237577,15942,15905
2.548569,2075.061200,16087,16083
1.427091,2474.620957,16211,16216
2.021398,214.764761,16321,16336
3.379925,1524.254439,16447,16448
1.315158,1705.507816,16574,16594
1.572759,887.802392,16503,16706
3.317698,943.172811,16835,16833
3.235344,325.544443,16966,16959
2.989049,3006.802515,17101,17098
1.472405,1552.987715,16590,17246
3.574928,1543.710930,17383,17345
3.821428,491.990063,17504,16857
2.762085,1508.901497,17619,17622
1.723996,778.463308,15090,17725
2.543969,3785.600331,17841,17842
1.467503,233.514056,17907,17991
3.153892,927.477260,18127,18124
2.175874,818.924389,18236,18255
1.607496,1466.941077,18276,18370
1.938160,880.004228,18482,18480
2.183407,563.103017,18614,18608
1.492654,379.551058,18693,18740
2.313701,3879.816952,18849,18844
1.972315,1326.782788,18998,19001
3.504593,270.664322,19121,19076
3.210456,0.941008,19255,19250
3.881926,701.202991,19362,19377
2.721516,367.916599,19521,19513
1.181893,1609.629649,19589,19630
2.064802,525.168271,19760,19769
1.162294,991.032306,19874,19875
1.372738,292.924935,20002,20012
4.073353,879.893612,20131,15869
1.926896,807.927806,20258,20268
2.711227,1357.832368,20407,20395
1.917826,1769.097287,20506,20517
3.020271,460.886895,20628,20625
1.604834,2479.364333,20218,20764
2.677145,1950.687753,20851,20902
2.114231,1568.877827,21035,21048
1.802668,2930.878189,20998,21158
1.691482,523.495861,21281,21295
3.031442,1002.575590,21414,21403
3.734663,1600.678142,21569,21496
1.931522,1569.701659,21698,21707
2.017893,162.110679,21821,21829
3.688664,4039.877081,21949,21931
2.090172,356.326989,21988,22088
2.775190,1080.815970,22211,22212
4.082118,350.695516,22333,20662
4.099814,304.523839,22441,14844
3.596187,1258.140821,22564,22560
4.121935,360.481385,22664,15959
1.927124,591.343095,22761,22795
2.098389,370.812683,22934,22930
2.548265,645.429024,23045,23067
2.508514,811.125136,23191,23201
3.634062,235.730945,23327,23329
4.013507,1799.579474,23451,23447
3.655623,125.955207,23590,23557
1.109970,1464.709741,23352,23710
2.497170,2948.963126,23854,23856
1.910447,951.482585,23972,23996
3.387932,48.172146,24117,24104
2.676112,2280.582343,24263,24260
